"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","25/104","305/18842",0.0819672131147541,14.8502522068096,18.1674889038417,1.48817551953887e-22,2.61770073886888e-19,2.18526826290182e-19,"STAT1/OAS3/RTP4/OAS2/BST2/OAS1/HERC5/GBP5/CXCL10/IFI6/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/USP18/PARP9/IFI44L/MX1/IFI27/DDX60/IFIT3/IFIT2/GBP1",25
"GO:0009615","response to virus","27/104","400/18842",0.0675,12.2291826923077,16.9114622910865,4.10477475350845e-22,3.61014939571068e-19,3.0137688321812e-19,"STAT1/OAS3/RTP4/OAS2/BST2/OAS1/HERC5/GBP5/IFI44/CXCL10/IFI6/CCL8/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/USP18/PARP9/IFI44L/MX1/IFI27/DDX60/IFIT3/IFIT2/GBP1",27
"GO:0045071","negative regulation of viral genome replication","11/104","48/18842",0.229166666666667,41.5188301282051,20.9399158630825,1.60509916134654e-15,9.41123141602856e-13,7.85653800027518e-13,"OAS3/OAS2/BST2/OAS1/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",11
"GO:0048525","negative regulation of viral process","12/104","74/18842",0.162162162162162,29.3794178794179,18.2228949898782,6.87942145313933e-15,3.02522558401802e-12,2.52547182292878e-12,"STAT1/OAS3/OAS2/BST2/OAS1/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",12
"GO:0045069","regulation of viral genome replication","12/104","77/18842",0.155844155844156,28.2347652347652,17.8402830830862,1.1365439656878e-14,3.99836167128968e-12,3.3378501729147e-12,"TOP2A/OAS3/OAS2/BST2/OAS1/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",12
"GO:0050792","regulation of viral process","14/104","136/18842",0.102941176470588,18.6501696832579,15.3898682250669,2.41137676455261e-14,7.0693528814134e-12,5.90152734482612e-12,"TOP2A/STAT1/OAS3/OAS2/BST2/OAS1/LAMP3/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",14
"GO:0019079","viral genome replication","13/104","110/18842",0.118181818181818,21.4113636363636,15.9949657716287,3.47331749974538e-14,7.63695685256515e-12,6.37536567387474e-12,"TOP2A/OAS3/OAS2/BST2/OAS1/CCL8/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",13
"GO:1903900","regulation of viral life cycle","13/104","110/18842",0.118181818181818,21.4113636363636,15.9949657716287,3.47331749974538e-14,7.63695685256515e-12,6.37536567387474e-12,"TOP2A/OAS3/OAS2/BST2/OAS1/LAMP3/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",13
"GO:0140374","antiviral innate immune response","11/104","73/18842",0.150684931506849,27.300052687039,16.7727590656156,2.25656585790742e-13,4.41033260451017e-11,3.6817653471121e-11,"OAS3/OAS2/OAS1/CXCL10/IFIH1/IFIT1/OASL/USP18/MX1/IFIT3/IFIT2",11
"GO:0070106","interleukin-27-mediated signaling pathway","6/104","10/18842",0.6,108.703846153846,25.3799064412298,5.04041822748924e-12,8.86609566215357e-10,7.40145623931314e-10,"STAT1/OAS3/OAS2/OAS1/OASL/MX1",6
"GO:0140888","interferon-mediated signaling pathway","11/104","105/18842",0.104761904761905,18.9800366300366,13.7639225585233,1.36614589763934e-11,2.18459148540691e-09,1.82370672459988e-09,"STAT1/OAS3/OAS2/OAS1/IFITM1/ISG15/OASL/USP18/PARP9/PARP14/IFI27",11
"GO:0016032","viral process","17/104","383/18842",0.0443864229765013,8.0416248242619,10.3723033917075,3.32571255676096e-11,4.87494032278544e-09,4.06962194445749e-09,"SIGLEC1/TOP2A/STAT1/OAS3/OAS2/BST2/OAS1/CCL8/LAMP3/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/PARP9/MX1",17
"GO:0019058","viral life cycle","15/104","284/18842",0.0528169014084507,9.56900054171181,10.8400374411132,4.67103917551487e-11,6.32027531517743e-09,5.27619404845607e-09,"SIGLEC1/TOP2A/OAS3/OAS2/BST2/OAS1/CCL8/LAMP3/RSAD2/IFITM1/IFIH1/ISG15/IFIT1/OASL/MX1",15
"GO:0034340","response to type I interferon","11/104","122/18842",0.0901639344262295,16.3352774274905,12.659765388602,7.12249027064376e-11,8.94890027575884e-09,7.47058190041206e-09,"STAT1/OAS3/OAS2/OAS1/IFITM1/ISG15/IFIT1/OASL/USP18/MX1/IFI27",11
"GO:0140014","mitotic nuclear division","14/104","281/18842",0.0498220640569395,9.02641664385436,10.0990657926031,4.66905503219125e-10,5.47524520108294e-08,4.5707591367767e-08,"DLGAP5/BIRC5/KIF11/KIF4A/NCAPG/ANLN/TPX2/CENPF/BUB1B/NEK2/MKI67/BUB1/AURKA/UBE2C",14
"GO:0060337","type I interferon-mediated signaling pathway","9/104","80/18842",0.1125,20.3819711538462,12.9422682688046,5.60237327441539e-10,6.15910911856042e-08,5.14165178803255e-08,"STAT1/OAS3/OAS2/OAS1/IFITM1/ISG15/OASL/USP18/IFI27",9
"GO:0071357","cellular response to type I interferon","10/104","116/18842",0.0862068965517241,15.6183687002653,11.7655551406861,8.47723815931139e-10,8.77144818954632e-08,7.32244410664978e-08,"STAT1/OAS3/OAS2/OAS1/IFITM1/ISG15/IFIT1/OASL/USP18/IFI27",10
