"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","42/94","305/18842",0.137704918032787,27.6025113358912,33.1658598193845,1.55020101893206e-50,2.42296419259081e-47,1.97773014204806e-47,"STAT2/IFIT5/MYD88/OAS1/BST2/IFI6/ADAR/TRIM21/PLSCR1/DDX60L/IFITM1/HERC5/ZNFX1/STAT1/MX2/IFIT3/IFIT2/IFNL2/ISG15/RTP4/IFNL1/DTX3L/IRF9/USP18/GBP5/ZBP1/OAS2/DHX58/IFIT1/IFIH1/IFI44L/MX1/IFI27/PARP9/NLRC5/SAMHD1/DDX60/APOBEC3A/RSAD2/OASL/EIF2AK2/CXCL10",42
"GO:0009615","response to virus","43/94","400/18842",0.1075,21.5480319148936,29.4126833579446,5.14109918004709e-47,4.0177690092068e-44,3.2794801085353e-44,"STAT2/IFIT5/MYD88/OAS1/BST2/IFI6/ADAR/TRIM21/IFI44/PLSCR1/DDX60L/IFITM1/HERC5/ZNFX1/STAT1/MX2/IFIT3/IFIT2/IFNL2/ISG15/RTP4/IFNL1/DTX3L/IRF9/USP18/GBP5/ZBP1/OAS2/DHX58/IFIT1/IFIH1/IFI44L/MX1/IFI27/PARP9/NLRC5/SAMHD1/DDX60/APOBEC3A/RSAD2/OASL/EIF2AK2/CXCL10",43
"GO:0048525","negative regulation of viral process","19/94","74/18842",0.256756756756757,51.4660724554342,30.7995803024602,4.55387661492392e-28,2.37256971637536e-25,1.93659594992554e-25,"IFIT5/OAS1/BST2/TRIM21/PLSCR1/IFITM1/TRIM14/ZNFX1/STAT1/SP100/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",19
"GO:0050792","regulation of viral process","21/94","136/18842",0.154411764705882,30.9513454317897,24.8218275638017,6.55250023879436e-26,2.5603894683089e-23,2.08990270774178e-23,"IFIT5/OAS1/BST2/ADAR/TRIM21/PLSCR1/IFITM1/TRIM14/ZNFX1/STAT1/SP100/LARP1/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",21
"GO:0045069","regulation of viral genome replication","17/94","77/18842",0.220779220779221,44.2544901906604,26.9302698398909,6.16790385809333e-24,1.92808674603997e-21,1.57378936337034e-21,"IFIT5/OAS1/BST2/ADAR/PLSCR1/IFITM1/ZNFX1/LARP1/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",17
"GO:0045071","negative regulation of viral genome replication","15/94","48/18842",0.3125,62.6396276595745,30.2767631360863,8.75903466735322e-24,2.28172853084551e-21,1.86244737137405e-21,"IFIT5/OAS1/BST2/PLSCR1/IFITM1/ZNFX1/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",15
"GO:0140888","interferon-mediated signaling pathway","18/94","105/18842",0.171428571428571,34.3623100303951,24.2738779617199,3.72367543191913e-23,8.31443528584229e-21,6.78660845636991e-21,"STAT2/MYD88/OAS1/IFITM1/STAT1/SP100/IFNL2/ISG15/IFNL1/USP18/ZBP1/OAS2/IFI27/PARP9/PARP14/NLRC5/SAMHD1/OASL",18
"GO:1903900","regulation of viral life cycle","18/94","110/18842",0.163636363636364,32.8003868471954,23.6850933271311,9.09094275162598e-23,1.77614294009893e-20,1.44976613354877e-20,"IFIT5/OAS1/BST2/ADAR/TRIM21/PLSCR1/IFITM1/ZNFX1/LARP1/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",18
"GO:0019079","viral genome replication","17/94","110/18842",0.154545454545455,30.9781431334623,22.3278767425677,4.27005177771175e-21,7.41565658729274e-19,6.05298567787911e-19,"IFIT5/OAS1/BST2/ADAR/PLSCR1/IFITM1/ZNFX1/LARP1/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",17
"GO:0140374","antiviral innate immune response","15/94","73/18842",0.205479452054795,41.1877003788983,24.3597287344601,1.05564667773607e-20,1.64997575730148e-18,1.34678291938539e-18,"IFIT5/OAS1/TRIM21/IFIT3/IFIT2/USP18/ZBP1/OAS2/DHX58/IFIT1/IFIH1/MX1/OASL/EIF2AK2/CXCL10",15
"GO:0034340","response to type I interferon","17/94","122/18842",0.139344262295082,27.9311126613185,21.1309838936372,2.71062830895567e-20,3.85155640627065e-18,3.14381005785098e-18,"STAT2/MYD88/OAS1/PSME2/IFITM1/STAT1/SP100/ISG15/USP18/ZBP1/OAS2/IFIT1/MX1/IFI27/NLRC5/SAMHD1/OASL",17
"GO:0016032","viral process","24/94","383/18842",0.0626631853785901,12.5606355202489,16.1851019867601,4.8245737832136e-20,6.28400735263571e-18,5.12928370636393e-18,"SIGLEC1/IFIT5/OAS1/BST2/ADAR/TRIM21/PLSCR1/IFITM1/TRIM14/ZNFX1/STAT1/SP100/LARP1/CD80/ISG15/OAS2/IFIT1/IFIH1/MX1/PARP9/APOBEC3A/RSAD2/OASL/EIF2AK2",24
"GO:0071357","cellular response to type I interferon","16/94","116/18842",0.137931034482759,27.6478356566398,20.3848188080105,4.49867002401101e-19,5.40878557502247e-17,4.41488912477842e-17,"STAT2/MYD88/OAS1/PSME2/IFITM1/STAT1/SP100/ISG15/USP18/ZBP1/OAS2/IFIT1/IFI27/NLRC5/SAMHD1/OASL",16
"GO:0060337","type I interferon-mediated signaling pathway","14/94","80/18842",0.175,35.0781914893617,21.6282009391821,2.49113856074752e-18,2.78117826460598e-16,2.27012025235037e-16,"STAT2/MYD88/OAS1/IFITM1/STAT1/SP100/ISG15/USP18/ZBP1/OAS2/IFI27/NLRC5/SAMHD1/OASL",14
"GO:0019058","viral life cycle","20/94","284/18842",0.0704225352112676,14.1159724303266,15.7700296223025,9.31050321954849e-18,9.70154435476952e-16,7.91882800146861e-16,"SIGLEC1/IFIT5/OAS1/BST2/ADAR/TRIM21/PLSCR1/IFITM1/ZNFX1/LARP1/CD80/ISG15/OAS2/IFIT1/IFIH1/MX1/APOBEC3A/RSAD2/OASL/EIF2AK2",20
"GO:0045088","regulation of innate immune response","23/94","482/18842",0.0477178423236514,9.56488920278979,13.4879938438145,1.32171664801651e-16,1.29115195053112e-14,1.0538951167079e-14,"STAT2/MYD88/OAS1/TRIM21/PLSCR1/ZNFX1/ISG15/B2M/USP18/GBP5/ZBP1/DHX58/IFIH1/IFI35/PARP9/PARP14/NLRC5/SAMHD1/DDX60/RSAD2/OASL/EIF2AK2/HLA-B",23
"GO:0034341","response to type II interferon","11/94","109/18842",0.100917431192661,20.2285770056607,14.2559169747997,6.7091423759832e-12,6.16846443156573e-10,5.0349724827812e-10,"GCH1/BST2/TRIM21/IFITM1/STAT1/SP100/GBP5/PARP9/PARP14/NLRC5/PSMB8",11
"GO:0045824","negative regulation of innate immune response","10/94","94/18842",0.106382978723404,21.3241285649615,13.9873942788242,3.74689403195107e-11,3.25355298441084e-09,2.65569331387409e-09,"STAT2/OAS1/TRIM21/ISG15/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",10
"GO:0035456","response to interferon-beta","7/94","34/18842",0.205882352941176,41.2684605757197,16.6407006023375,2.95409186484629e-10,2.43012925513408e-08,1.98357858182477e-08,"XAF1/OAS1/BST2/PLSCR1/IFITM1/PNPT1/STAT1",7
"GO:0050777","negative regulation of immune response","12/94","202/18842",0.0594059405940594,11.9077311986518,11.0363530977268,3.67641936593208e-10,2.87312173447592e-08,2.34516856395246e-08,"STAT2/OAS1/TRIM21/CD80/ISG15/IFNL1/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",12
"GO:0035455","response to interferon-alpha","6/94","20/18842",0.3,60.1340425531915,18.7351904381507,4.80451323976566e-10,3.57593056845416e-08,2.91883210355688e-08,"OAS1/BST2/ADAR/IFITM1/MX2/EIF2AK2",6
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","6/94","21/18842",0.285714285714286,57.2705167173252,18.2686995073552,6.69939733469247e-10,4.65955350777122e-08,3.80333289653414e-08,"STAT2/OAS1/ISG15/USP18/NLRC5/SAMHD1",6
"GO:0070106","interleukin-27-mediated signaling pathway","5/94","10/18842",0.5,100.223404255319,22.2230840888182,6.8566686294778e-10,4.65955350777122e-08,3.80333289653414e-08,"OAS1/STAT1/OAS2/MX1/OASL",5
"GO:0002832","negative regulation of response to biotic stimulus","10/94","131/18842",0.0763358778625954,15.3012830924151,11.6305587966447,1.02821297096204e-09,6.69623697339027e-08,5.46576368774557e-08,"STAT2/OAS1/TRIM21/ISG15/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",10
"GO:0045089","positive regulation of innate immune response","15/94","396/18842",0.0378787878787879,7.59268214055448,9.38851830050174,1.08695875710725e-09,6.79566614943455e-08,5.54692216258523e-08,"MYD88/OAS1/PLSCR1/ZNFX1/GBP5/ZBP1/DHX58/IFIH1/IFI35/PARP9/NLRC5/DDX60/RSAD2/OASL/EIF2AK2",15
"GO:0060338","regulation of type I interferon-mediated signaling pathway","7/94","41/18842",0.170731707317073,34.2226258432797,15.0790450242165,1.20005555178127e-09,7.21418010551584e-08,5.88853169538014e-08,"STAT2/OAS1/ISG15/USP18/ZBP1/NLRC5/SAMHD1",7
