"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","14/53","180/9422",0.0777777777777778,13.8268343815514,13.0681037844382,6.52077147553579e-13,5.99910975749292e-11,3.91246288532147e-11,"6890/6773/4615/4938/6891/684/6772/6672/567/10379/4939/64135/5610/3106",14
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","13/53","173/9422",0.0751445086705202,13.3587086923329,12.3392446381721,7.62180624003303e-12,3.50603087041519e-10,2.28654187200991e-10,"6773/4615/4938/103/6772/4600/10379/4939/64135/4599/91543/5610/3627",13
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","13/53","205/9422",0.0634146341463415,11.273446847676,11.1850552152777,6.55424505103667e-11,2.00996848231791e-09,1.31084901020733e-09,"6890/6773/4615/4938/6891/6772/9636/567/10379/4939/5610/3627/3106",13
"Human Diseases","Infectious disease: viral","hsa05162","Measles","11/53","136/9422",0.0808823529411765,14.3787458379578,11.8198056352655,1.71455720007348e-10,3.94348156016901e-09,2.57183580011023e-09,"6773/4615/4938/103/6772/4600/10379/4939/64135/4599/5610",11
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","13/53","239/9422",0.0543933054393305,9.66969290281835,10.2105747657215,4.44595217608678e-10,8.18055200399967e-09,5.33514261130413e-09,"6773/4615/4938/103/6772/4600/9636/10379/4939/64135/4599/5610/3627",13
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","11/53","156/9422",0.0705128205128205,12.5353168843735,10.926611400993,7.53917326200938e-10,1.15600656684144e-08,7.53917326200938e-09,"6773/4938/6772/4600/10379/4939/3434/4599/91543/5610/3627",11
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/53","109/9422",0.0642201834862385,11.4166522416479,8.22690401370994,2.27235687870584e-06,2.98652618344196e-05,1.94773446746215e-05,"6773/4615/6772/6373/941/10379/3627",7
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","6/53","72/9422",0.0833333333333333,14.814465408805,8.84981808009475,2.78596937621517e-06,3.20386478264745e-05,2.08947703216138e-05,"103/57169/9636/79132/64135/3627",6
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","8/53","214/9422",0.0373831775700935,6.64574149180039,6.28326008965653,2.28604058293591e-05,0.000233684148477893,0.00015240270552906,"6890/4615/6891/684/567/25939/200315/3106",8
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","5/53","73/9422",0.0684931506849315,12.1762729387439,7.20967464726742,5.22247494579461e-05,0.000480467695013104,0.000313348496747677,"684/4600/4599/25939/200315",5
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","7/53","187/9422",0.0374331550802139,6.65462617293916,5.87416403057389,7.7243562848787e-05,0.000646037071098946,0.000421328524629747,"6773/4615/4938/6772/10379/115362/4939",7
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/53","333/9422",0.027027027027027,4.80469148393677,5.31646952283536,8.66070088907435e-05,0.000646213731394632,0.000421443737866064,"6773/6772/4600/9636/10379/4599/8638/5610/3106",9
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","5/53","82/9422",0.0609756097560976,10.83985273815,6.73072588987345,9.13128098709806e-05,0.000646213731394632,0.000421443737866064,"6890/6891/5721/567/3106",5
