"gene_id","gene","correlation"
"ENSG00000111335.13","OAS2",0.86691818943583
"ENSG00000089127.14","OAS1",0.855461344555118
"ENSG00000138496.16","PARP9",0.837896593936584
"ENSG00000134326.11","CMPK2",0.835145409236647
"ENSG00000115415.20","STAT1",0.821915033866805
"ENSG00000119917.14","IFIT3",0.818778586503797
"ENSG00000137628.17","DDX60",0.816261230977385
"ENSG00000115267.8","IFIH1",0.814505967195481
"ENSG00000173193.15","PARP14",0.811083288430279
"ENSG00000185745.10","IFIT1",0.802879435507354
"ENSG00000107201.10","DDX58",0.790361388501633
"ENSG00000134321.12","RSAD2",0.788930182178622
"ENSG00000119922.10","IFIT2",0.78823787349551
"ENSG00000135114.12","OASL",0.781311039785333
"ENSG00000205413.8","SAMD9",0.781131872360727
"ENSG00000184979.10","USP18",0.779036535196012
"ENSG00000163840.10","DTX3L",0.773733991398332
"ENSG00000157601.14","MX1",0.769326174603606
"ENSG00000126709.15","IFI6",0.757684373067324
"ENSG00000137959.16","IFI44L",0.752680767481607
"ENSG00000152778.9","IFIT5",0.746317831066734
"ENSG00000137965.11","IFI44",0.735367952036609
"ENSG00000055332.18","EIF2AK2",0.731974829628584
"ENSG00000225886.3","AL445490.1",0.731564473597365
"ENSG00000059378.13","PARP12",0.724442955396204
"ENSG00000156587.16","UBE2L6",0.70731647546236
"ENSG00000124201.15","ZNFX1",0.699097100046206
"ENSG00000173821.19","RNF213",0.696754599384905
"ENSG00000160710.17","ADAR",0.693742559716273
"ENSG00000181381.14","DDX60L",0.691955975502715
